method_id,method,metric,p05,median,p95,mean
document_upload,Document upload,adult_adverse_outcomes_per_minor_purchase_prevented,1.1432247955740036,1.7699260105976422,2.625248645052743,1.8119287810761706
document_upload,Document upload,adult_adverse_outcomes_per_minor_consumption_prevented,1.8066121954056238,3.057304346435849,5.269007897413325,3.233545210244436
document_upload,Document upload,adult_checks_per_minor_purchase_prevented,5.353804845098422,6.675100620419796,8.397393735355404,6.748319023686301
document_upload,Document upload,identity_proofing_events,18463.715735241505,23467.979090578192,29089.09092333127,23583.562807878712
document_upload,Document upload,identity_records_created,15465.52348691968,26473.635595539552,42540.59339809531,27445.20701265727
document_upload,Document upload,centralized_identity_records,12474.193488435334,21963.62510589254,36288.871711301384,22865.378464575453
document_upload,Document upload,centralized_records_at_risk,12837.072501901597,41191.905094692425,104577.76220551056,47740.74642583454
document_upload,Document upload,expected_routine_records_exposed,187.73780874661298,820.7926888775295,2810.0966360336124,1065.9163995149233
document_upload,Document upload,expected_catastrophic_records_exposed,13.130139936870528,80.75076385462746,353.02284029864944,118.2497401474167
document_upload,Document upload,expected_records_exposed,230.39387135490236,925.0970305480641,3036.2181965176133,1184.16613966234
document_upload,Document upload,transient_identity_images,21595.516454530407,30500.91376616412,44435.69995487644,31437.085066304535
document_upload,Document upload,biometric_scans,301.64018584547614,3417.307969433303,9270.256796023197,3920.6539855139376
document_upload,Document upload,credential_assertions,0.0,0.0,0.0,0.0
document_upload,Document upload,third_party_disclosures,21543.427082575647,30452.86602524535,44541.618029324905,31443.061653676366
document_upload,Document upload,total_annual_cost,60610.423060346024,99165.80541871015,155834.16729150192,102877.44269445045
document_upload,Document upload,cost_per_minor_purchase_prevented,18.580622042884503,32.182905211502344,54.48687739853366,33.82455366094251
document_upload,Document upload,cost_per_minor_consumption_prevented,29.85266128679344,55.948644964217614,105.54394598323212,60.3638826589563
facial_age_estimation,Facial age estimation,minor_purchases_prevented,1656.6953196544046,2366.0752553653633,3294.2021184058576,2406.350094712833
facial_age_estimation,Facial age estimation,minor_substitution_events,502.2013084919029,966.0602431455734,1618.3954032264899,1001.4497419652539
facial_age_estimation,Facial age estimation,minor_consumption_prevented,815.52904124631,1364.4200955687852,2128.418302980601,1404.9003527475793
facial_age_estimation,Facial age estimation,minor_purchases_permitted,1133.381670492515,1754.3189240313877,2560.0752991604545,1788.9726433741912
facial_age_estimation,Facial age estimation,adult_false_rejections,878.8584598199727,1769.5849580271665,3070.3109168530336,1850.0283459488355
facial_age_estimation,Facial age estimation,adult_abandonments,1062.7635355619573,2048.200155095804,3565.339305032209,2149.8026706458536
facial_age_estimation,Facial age estimation,adult_adverse_outcomes,2446.872079411728,3920.454721280761,5818.708717256457,3999.8310165946896
facial_age_estimation,Facial age estimation,higher_friction_adult_adverse_outcomes,413.4030571970486,749.105929454339,1285.5414438707035,785.9241491078335
facial_age_estimation,Facial age estimation,adult_adverse_outcomes_per_minor_purchase_prevented,1.004836036067697,1.6563346744356091,2.5958140656058304,1.7097947686680395
facial_age_estimation,Facial age estimation,adult_adverse_outcomes_per_minor_consumption_prevented,1.6146547328505796,2.869424266049645,5.129112709356192,3.0522716429516428
facial_age_estimation,Facial age estimation,adult_checks_per_minor_purchase_prevented,6.608073051463923,8.702578108420369,11.748278490699208,8.879049093021347
facial_age_estimation,Facial age estimation,identity_proofing_events,18895.816153560663,23879.774394690216,29470.82175755728,24002.519504753483
facial_age_estimation,Facial age estimation,identity_records_created,2146.488135282597,7047.739496044494,15730.627680156496,7782.609916850533
facial_age_estimation,Facial age estimation,centralized_identity_records,883.8983194996433,3133.4928155234993,8083.855350013924,3635.016127942986
facial_age_estimation,Facial age estimation,centralized_records_at_risk,347.5435073071092,1978.4996172291612,7961.4879956927925,2780.486943417268
facial_age_estimation,Facial age estimation,expected_routine_records_exposed,3.981197782794191,29.11666098200714,153.23387600250177,47.368889777817074
facial_age_estimation,Facial age estimation,expected_catastrophic_records_exposed,0.4072940376983104,3.814801300738517,23.9622129284675,6.8959111608788275
facial_age_estimation,Facial age estimation,expected_records_exposed,5.114270154917621,34.47476853891882,171.84870721712215,54.26480093869589
facial_age_estimation,Facial age estimation,transient_identity_images,18895.816153560663,23879.774394690216,29470.82175755728,24002.519504753483
facial_age_estimation,Facial age estimation,biometric_scans,18200.4847394161,23077.399241682924,28547.273907196974,23205.591460694486
facial_age_estimation,Facial age estimation,credential_assertions,0.0,0.0,0.0,0.0
facial_age_estimation,Facial age estimation,third_party_disclosures,21989.89762894664,31065.142969049288,45336.49178030014,32035.004392412942
facial_age_estimation,Facial age estimation,total_annual_cost,40940.280712413136,68647.26119102232,112319.6895794324,71867.16534207239
facial_age_estimation,Facial age estimation,cost_per_minor_purchase_prevented,16.05217373895115,29.112692590495485,52.83988543220357,31.084491283988015
facial_age_estimation,Facial age estimation,cost_per_minor_consumption_prevented,25.75742158792592,50.75727547941679,101.35121988783844,55.49731732846224
reusable_age_token,Reusable third-party age token,minor_purchases_prevented,2162.8180693498794,2947.921482837242,3935.799110696923,2984.1658552211534
reusable_age_token,Reusable third-party age token,minor_substitution_events,639.6906184751093,1207.0376200980972,1979.6695182161625,1243.4211752874503
reusable_age_token,Reusable third-party age token,minor_consumption_prevented,1045.702263945053,1702.9707971163007,2571.416490361198,1740.7446799337035
reusable_age_token,Reusable third-party age token,minor_purchases_permitted,723.6202127651968,1176.8496677101216,1808.4770437010732,1211.1568828658706
reusable_age_token,Reusable third-party age token,adult_false_rejections,345.4322842231319,763.2685710673898,1436.0581527282675,813.5298050818288
reusable_age_token,Reusable third-party age token,adult_abandonments,1016.8148077178361,2044.426750495585,3723.543395958239,2167.5429468195616
reusable_age_token,Reusable third-party age token,adult_adverse_outcomes,1690.8238397216337,2881.6696896402314,4605.99252439085,2981.0727519013903
reusable_age_token,Reusable third-party age token,higher_friction_adult_adverse_outcomes,396.96768938469864,757.238004097385,1377.8912000255418,805.8459290586608
reusable_age_token,Reusable third-party age token,adult_adverse_outcomes_per_minor_purchase_prevented,0.5729288048564849,0.9785956155392518,1.5851571197667222,1.0170141634634624
reusable_age_token,Reusable third-party age token,adult_adverse_outcomes_per_minor_consumption_prevented,0.9207845785611847,1.6937096572659094,3.125558599209178,1.8168035075700588
reusable_age_token,Reusable third-party age token,adult_checks_per_minor_purchase_prevented,5.2261926010252475,6.62625209625189,8.548600076938595,6.7195285431932925
reusable_age_token,Reusable third-party age token,identity_proofing_events,2003.5169193904817,4121.861540176984,7230.155297909862,4316.085147622427
reusable_age_token,Reusable third-party age token,identity_records_created,1816.4819744025274,4014.4596656068998,7807.770521355957,4307.354877932239
reusable_age_token,Reusable third-party age token,centralized_identity_records,995.4248001942481,2409.892528355093,5151.229086042084,2655.857061032892
reusable_age_token,Reusable third-party age token,centralized_records_at_risk,2046.7690300000615,6984.134383348073,19725.414099928254,8409.697565519453
reusable_age_token,Reusable third-party age token,expected_routine_records_exposed,21.191846193255657,104.44533491430929,398.7268852157512,143.01302012952988
reusable_age_token,Reusable third-party age token,expected_catastrophic_records_exposed,2.071032315997555,13.549493959975528,62.29124609328705,20.610985873307804
reusable_age_token,Reusable third-party age token,expected_records_exposed,27.478958991276734,122.48607914502935,443.5385958565948,163.6240060028377
reusable_age_token,Reusable third-party age token,transient_identity_images,1068.1866263648149,3875.667265019785,9027.065201392175,4308.0827075942025
reusable_age_token,Reusable third-party age token,biometric_scans,44.985892709733136,561.75980249132,1909.6661972501574,714.4198696153164
reusable_age_token,Reusable third-party age token,credential_assertions,13410.886273974327,19530.903580762115,26225.93965036452,19627.123959100263
reusable_age_token,Reusable third-party age token,third_party_disclosures,17668.310828611975,25099.960467939978,34100.32415976916,25387.421968828774
reusable_age_token,Reusable third-party age token,total_annual_cost,79428.44139645903,137206.4367384197,225490.4363337827,143378.96473544114
reusable_age_token,Reusable third-party age token,cost_per_minor_purchase_prevented,25.185950127843128,46.70713594969378,83.59208892229408,49.64248820059102
